Product Category,Unit Price,Quantity,Discount(%),Pages Viewed,Time on Site (Sec),Added to Cart,Purchased
Sports,204.24,1,0,20,528,1,0
Beauty,237.08,1,15,20,445,1,0
Electronics,482.79,3,15,2,903,0,0
Sports,119.85,3,0,18,397,1,0
Fashion,196.81,3,20,16,748,1,1
Fashion,157.38,1,30,5,1704,1,1
Books,1594.29,3,0,8,987,0,0
Beauty,403.3,2,0,9,1789,1,0
Books,1425.39,2,5,23,330,1,0
Toys,1922,4,0,19,372,1,0
Fashion,189.57,4,5,7,105,0,0
Home & Kitchen,1207.13,4,15,9,1297,1,1
Sports,289.18,2,15,13,1678,0,0
Groceries,356.93,4,20,8,1285,0,0
Books,943.38,1,0,15,755,1,1
Sports,55.65,3,25,20,757,1,0
Toys,1103.54,3,0,20,616,1,1
Electronics,217.58,3,0,1,187,0,0
Sports,273.63,1,10,20,359,1,0
Books,978.16,4,5,12,799,1,0
Sports,285.21,3,15,9,1544,1,0
Sports,64.08,1,10,1,55,0,0
Toys,652.34,1,5,1,1204,0,0
Books,1401.02,3,10,9,549,1,0
Electronics,972.14,1,30,18,637,1,1
Home & Kitchen,1197.97,3,10,24,1270,1,0
Beauty,1253.85,2,0,20,931,1,1
Toys,1391.19,2,0,21,1671,1,0
Fashion,295.93,2,0,17,840,1,1
Toys,1712.12,3,0,6,669,1,1
Fashion,147.88,1,0,9,54,0,0
Home & Kitchen,761.37,3,15,2,765,1,0
Fashion,270.76,3,10,21,751,0,0
Toys,1251.49,3,0,11,189,1,1
Groceries,197.03,3,5,24,1159,0,0
Sports,305.41,4,0,10,1056,0,0
Sports,394.1,3,5,9,718,0,0
Groceries,374.68,3,20,18,30,1,0
Fashion,458.63,3,0,17,1690,0,0
Beauty,632.95,3,0,8,890,0,0
Fashion,489.49,3,30,17,723,1,0
Beauty,456.74,1,5,20,1006,0,0
Toys,825.76,4,20,6,1752,1,1
Sports,486.38,1,0,7,1641,1,0
Sports,455.57,1,5,9,659,0,0
Fashion,496.86,3,10,17,1694,0,0
Fashion,646.61,3,0,20,202,0,0
Groceries,676.24,3,20,16,461,1,1
Toys,1681.91,3,20,17,19,0,0
Books,1707.61,2,20,21,1318,1,1
Home & Kitchen,480.06,2,20,22,1071,1,0
Books,1134.82,3,30,9,1264,0,0
Books,888.19,1,5,24,1282,0,0
Home & Kitchen,520.42,3,5,18,98,1,0
Fashion,315.75,3,0,11,918,0,0
Beauty,783.46,1,0,8,1255,1,0
Electronics,536.34,1,0,18,149,0,0
Sports,269.37,4,0,8,1291,0,0
Books,671.83,3,10,22,165,1,0
Home & Kitchen,502.22,3,15,3,1347,1,0
Electronics,543.67,2,0,22,974,0,0
Groceries,1017.34,2,25,12,827,0,0
Toys,889.74,2,15,13,1787,0,0
Toys,561.28,1,15,13,786,0,0
Sports,191.56,1,20,9,247,1,0
Fashion,443.67,3,25,11,758,0,0
Beauty,1791.4,4,10,22,260,1,0
Electronics,188.4,4,10,16,1354,0,0
Groceries,255.41,2,0,23,352,1,0
Electronics,298.03,1,0,4,43,0,0
Sports,317.01,3,15,22,1469,1,0
Beauty,213.92,4,10,19,306,1,1
Toys,916.89,2,15,15,1386,1,0
Groceries,976.56,4,15,19,1600,1,0
Fashion,333.47,2,0,11,421,1,0
Home & Kitchen,593.22,4,20,18,1532,1,0
Sports,243.59,1,20,18,426,1,0
Home & Kitchen,1386.25,2,10,10,1496,1,0
Electronics,354.8,3,0,13,1101,0,0
Electronics,660.17,3,10,1,161,1,0
Home & Kitchen,479.14,4,0,10,1485,0,0
Beauty,1783.44,2,0,6,1732,1,0
Electronics,173.91,3,30,12,135,0,0
Books,1301.52,3,20,13,215,1,0
Groceries,350.27,4,10,15,807,0,0
Toys,1499.31,1,30,5,1511,1,1
Toys,1086.95,1,5,9,1792,0,0
Groceries,330.73,1,30,8,475,1,0
Groceries,222.24,3,0,1,1462,0,0
Toys,1390.1,3,0,14,476,0,0
Fashion,385.29,1,0,19,113,0,0
Fashion,675.87,3,10,14,1213,0,0
Toys,739.72,1,0,14,1255,1,0
Toys,1926.47,4,20,23,954,1,1
Books,569.02,4,0,2,1768,0,0
Fashion,628.99,4,15,13,32,1,0
Toys,1136.24,4,15,13,853,1,0
Toys,1076.93,1,10,22,198,1,0
Books,1471.15,4,10,9,1760,1,1
Fashion,378.3,3,15,7,347,1,1
Groceries,509.26,3,30,12,1454,0,0
Toys,1889.33,3,25,19,1654,0,0
Books,992.27,3,0,12,68,0,0
Sports,104.17,3,5,10,721,0,0
Home & Kitchen,503.11,3,0,24,1036,1,1
Toys,1660.47,2,5,15,444,1,0
Groceries,787.58,4,10,9,1047,1,1
Electronics,443.45,2,0,4,391,1,0
Books,768.29,3,0,1,1385,1,1
Home & Kitchen,1464.85,2,15,18,311,0,0
Home & Kitchen,566.88,1,15,15,1765,0,0
Books,1902.24,4,10,1,1710,1,1
Books,1941.97,1,5,8,1340,1,0
Books,947.09,1,0,7,161,1,0
Fashion,520.82,3,0,19,87,1,1
Fashion,576.32,2,20,23,965,1,1
Beauty,233.01,3,10,21,435,1,0
Beauty,1373.19,2,10,4,1157,1,1
Home & Kitchen,866.56,1,10,11,151,1,0
Home & Kitchen,1341.88,1,30,22,362,1,0
Fashion,327.16,3,30,18,1417,0,0
Beauty,423.89,4,15,13,288,1,0
Electronics,624.92,3,10,22,1073,1,1
Sports,66.6,3,0,2,877,1,1
Sports,220.6,3,0,24,542,1,0
Home & Kitchen,468.72,3,30,22,1726,1,0
Fashion,662.39,1,0,16,481,1,0
Electronics,656.54,4,20,23,1621,1,0
Beauty,967.38,2,0,22,787,1,1
Sports,144.83,3,0,17,555,1,1
Home & Kitchen,824.42,2,0,5,1759,0,0
Home & Kitchen,594.95,1,15,7,516,0,0
Home & Kitchen,461.11,3,15,7,1677,1,0
Home & Kitchen,937.81,2,25,8,1549,1,0
Books,1733.12,2,0,5,423,0,0
Electronics,473.91,3,15,11,427,1,1
Sports,464.37,1,15,17,1748,0,0
Toys,764.33,2,15,12,1667,1,0
Groceries,188.09,3,15,18,1383,1,1
Groceries,923.83,4,25,21,19,1,0
Electronics,460.62,3,5,23,122,1,0
Toys,1586.25,1,0,23,281,0,0
Groceries,161.91,1,15,17,795,0,0
Books,1150.44,3,0,8,670,1,0
Beauty,383.47,2,10,2,999,1,0
Home & Kitchen,763.3,1,15,1,542,1,0
Electronics,833.72,1,10,21,63,1,0
Electronics,806.87,3,0,13,924,0,0
Home & Kitchen,1072.21,2,30,6,1205,0,0
Books,1288.17,1,0,8,1599,0,0
Groceries,1101.56,2,0,16,420,1,1
Home & Kitchen,434.75,2,25,15,290,0,0
Groceries,150.61,2,5,23,811,1,1
Groceries,744.74,2,0,3,982,0,0
Groceries,1076.35,1,20,17,861,0,0
Groceries,990.39,4,25,24,27,1,0
Groceries,1122.54,4,10,11,924,1,0
Home & Kitchen,1168.58,3,10,12,825,1,0
Beauty,538.39,3,15,10,149,0,0
Fashion,682.44,4,5,5,905,0,0
Sports,416.01,3,10,1,554,1,0
Sports,134.5,3,10,15,560,1,0
Beauty,1222.14,4,0,19,1263,1,0
Electronics,820.28,2,25,23,906,1,0
Sports,240.51,2,5,1,1021,0,0
Toys,396.72,2,0,18,164,0,0
Fashion,101.19,1,10,22,27,1,0
Toys,1576.73,2,30,22,1521,0,0
Sports,138.78,2,15,12,1735,1,0
Fashion,562.67,1,0,1,972,0,0
Toys,1333.47,4,0,1,756,1,0
Groceries,459.2,2,25,5,1636,1,0
Fashion,151.68,3,0,14,767,1,0
Books,948.87,3,5,20,504,1,0
Books,1695.01,2,20,9,1751,1,0
Electronics,831.14,3,15,3,1047,0,0
Books,1095.74,2,20,14,14,1,0
Fashion,225.72,1,10,8,1395,0,0
Books,643.12,3,0,1,397,1,0
Sports,186.04,1,20,12,1253,0,0
Groceries,850.01,4,0,16,988,1,1
Electronics,734.44,4,0,2,361,1,0
Sports,101.94,3,0,12,465,1,1
Beauty,1075.94,2,5,13,550,1,0
Sports,411.36,2,0,17,858,1,0
Groceries,707.9,4,0,12,63,1,0
Sports,228.42,1,0,3,1159,1,1
Fashion,121.04,1,5,9,1107,1,1
Home & Kitchen,1479.37,2,0,24,1351,0,0
Groceries,580.24,2,0,22,965,0,0
Fashion,411.75,1,5,10,1257,1,0
Books,637.02,2,0,17,1559,0,0
Sports,363.67,1,5,17,1262,0,0
Beauty,1037.82,2,0,17,1245,1,0
Home & Kitchen,517.15,2,10,2,1736,0,0
Electronics,458.17,4,10,7,937,1,1
Fashion,695.31,3,0,13,939,1,0
Home & Kitchen,1116.82,4,15,11,1262,1,1
Fashion,353.44,4,0,2,110,1,0
Electronics,522.2,3,0,14,838,1,1
Beauty,659.04,1,10,13,298,1,0
Sports,462.41,3,10,12,1799,1,0
Toys,886.53,2,0,15,1119,1,0
Books,925.18,1,20,24,36,1,0
Electronics,437.32,3,20,22,359,1,0
Fashion,794.09,1,0,23,926,0,0
Sports,262.88,2,20,16,1357,0,0
Groceries,1150.31,4,10,2,1759,1,0
Beauty,776.14,4,20,10,24,0,0
Books,567.97,3,0,15,330,1,0
Toys,1821.4,2,0,20,1649,1,0
Books,1679.8,3,0,5,188,0,0
Home & Kitchen,1453.67,4,0,11,379,1,0
Fashion,363.81,1,30,18,1054,1,1
Sports,192.9,4,15,13,1568,1,0
Sports,222.75,4,20,19,1217,0,0
Books,1229.39,1,10,7,692,0,0
Toys,1719.96,3,15,1,1798,1,0
Fashion,601.01,1,0,13,851,0,0
Groceries,560.61,3,0,20,1799,1,0
Sports,159.45,1,15,17,1559,0,0
Sports,439.56,2,20,20,1196,0,0
Toys,870.65,2,0,10,1355,1,0
Electronics,809.69,2,0,18,1731,0,0
Books,1418.83,2,0,3,861,0,0
Books,1596.37,2,0,3,1165,1,1
Fashion,649.88,2,0,21,1111,0,0
Books,546.99,2,20,21,649,1,0
Electronics,345.48,3,30,18,19,1,0
Toys,1111.54,3,30,20,1633,1,0
Electronics,675.09,4,15,6,461,1,0
Toys,1683.55,3,0,6,1164,0,0
Toys,1854.95,4,0,11,811,1,0
Home & Kitchen,823.99,1,15,11,1604,0,0
Fashion,208.7,4,10,18,815,0,0
Groceries,1095.88,3,20,22,831,1,1
Electronics,435.82,3,15,16,1745,1,0
Home & Kitchen,1463.7,3,20,7,405,1,0
Beauty,259.68,3,15,13,257,0,0
Electronics,163.82,2,10,11,710,0,0
Books,1111.92,3,15,1,833,1,1
Beauty,1486.36,2,15,19,284,0,0
Fashion,791.58,1,20,23,245,0,0
Toys,1968.43,3,20,5,993,0,0
Fashion,539.58,4,0,17,1565,0,0
Toys,1063.34,1,0,4,489,1,0
Groceries,922.32,3,10,20,586,1,0
Groceries,985.4,4,0,24,1566,0,0
Beauty,222.59,2,15,24,703,1,0
Beauty,756.88,3,15,10,882,0,0
Sports,135.49,1,0,8,1303,0,0
Fashion,290.23,3,20,17,1769,0,0
Home & Kitchen,1275.1,4,0,1,499,1,1
Home & Kitchen,664.9,3,0,14,1578,0,0
Home & Kitchen,1497.35,1,20,2,1757,1,0
Electronics,283.03,4,15,15,307,0,0
Toys,957.95,4,0,15,217,1,1
Books,1345.74,3,0,24,1042,1,1
Toys,1134.19,2,0,13,407,0,0
Sports,432.88,4,0,8,956,1,0
Beauty,1279.53,3,5,7,371,1,0
Beauty,1197.82,2,10,24,59,1,1
Groceries,1015.3,3,20,1,823,1,1
Beauty,1723.89,2,0,11,704,0,0
Groceries,609.4,2,0,22,1260,0,0
Fashion,523.6,2,5,21,61,1,0
Books,1651.31,4,0,21,719,0,0
Beauty,1177.58,3,5,21,315,0,0
Sports,63.31,1,0,8,61,0,0
Toys,1075.25,2,0,12,1215,1,1
Toys,1451.03,1,15,15,179,0,0
Sports,326.18,3,5,3,1535,0,0
Fashion,570.7,4,0,1,217,1,1
Electronics,569.81,4,20,16,1261,1,0
Toys,1480.27,3,10,5,716,1,0
Groceries,324.18,3,10,24,1015,0,0
Fashion,529.24,2,0,20,766,1,0
Beauty,1266.68,3,20,10,1751,0,0
Beauty,272.89,2,0,8,1472,0,0
Fashion,799.81,2,5,10,1454,1,0
Books,739.67,1,15,19,1488,1,0
Sports,169.04,2,0,3,1724,1,0
Fashion,673.55,1,15,20,1218,1,1
Books,1241.45,4,15,1,1319,1,0
Sports,481.85,1,10,3,858,1,0
Electronics,986.48,2,15,2,446,1,0
Sports,84.93,1,10,9,561,1,0
Groceries,314.71,1,25,11,1256,1,0
Groceries,322.79,1,15,8,822,1,0
Electronics,423.05,2,10,24,1404,1,0
Toys,887.88,1,25,8,1265,1,1
Books,1535.28,1,20,14,1746,1,0
Books,1809.4,1,30,15,1709,0,0
Books,885.96,1,25,7,807,0,0
Electronics,447.45,1,0,8,1583,0,0
Sports,205.5,4,20,7,291,0,0
Fashion,445.27,3,15,10,655,0,0
Fashion,319.52,1,15,13,1690,1,0
Toys,1983.25,1,0,20,1426,1,0
Fashion,726.9,3,15,10,458,1,1
Groceries,1009.88,2,0,19,594,1,0
Home & Kitchen,992.15,4,0,16,533,0,0
Groceries,377.17,1,0,16,172,1,0
Fashion,284.28,1,10,3,1634,1,1
Home & Kitchen,1467.53,2,0,10,364,0,0
Fashion,185.24,1,0,19,974,1,0
Toys,1021.49,3,10,2,872,1,1
Groceries,835.82,2,20,12,128,1,0
Groceries,335.67,1,5,3,1301,1,0
Books,1034.18,1,0,12,1422,0,0
Home & Kitchen,367.18,2,10,21,1250,1,0
Toys,1441.19,2,5,5,1394,0,0
Sports,303.89,3,25,9,1177,0,0
Sports,223.98,3,5,9,1277,1,0
Home & Kitchen,694.2,2,0,22,1411,1,1
Beauty,1104.41,2,15,21,494,0,0
Groceries,609.59,4,10,16,1154,1,1
Toys,903.02,3,0,22,69,1,1
Beauty,830.41,1,5,7,199,1,1
Books,1661.5,2,20,2,969,1,1
Books,598.8,2,10,24,1511,1,1
Fashion,379.22,1,20,4,249,0,0
Books,890.48,2,20,18,951,0,0
Beauty,467.9,2,0,8,359,0,0
Home & Kitchen,893.16,2,0,22,838,1,1
Toys,784.18,3,20,22,1785,1,1
Toys,1888.71,1,15,23,588,0,0
Sports,448.03,3,30,22,339,1,1
Beauty,313.22,3,0,14,1408,0,0
Groceries,939.14,1,5,9,1073,1,0
Books,1881.79,4,30,21,1398,1,1
Home & Kitchen,461.18,1,10,5,296,1,1
Toys,1972.79,4,0,10,1344,1,0
Groceries,987.71,1,0,12,1716,0,0
Toys,1798.33,3,30,20,346,1,1
Books,1912.9,3,20,15,1392,1,0
Books,578.62,1,0,20,449,1,0
Toys,1094.91,4,0,1,1507,1,0
Books,1556.85,1,0,9,1124,1,0
Books,1490.12,3,5,14,1139,1,0
Groceries,331.24,2,0,24,704,0,0
Groceries,321.1,3,0,13,1727,0,0
Fashion,422.39,1,25,11,33,0,0
Sports,369.32,3,10,8,1406,1,0
Home & Kitchen,989.33,2,5,11,120,1,0
Toys,518.07,2,15,14,425,1,0
Electronics,848.07,4,0,16,611,1,0
Home & Kitchen,807.06,3,15,13,1651,1,1
Groceries,544.65,2,5,24,469,1,0
Home & Kitchen,1212.63,1,0,2,1199,1,1
Toys,1668.02,2,10,22,215,1,0
Home & Kitchen,1342.34,2,10,11,1686,1,1
Home & Kitchen,1330.88,2,10,21,1793,0,0
Beauty,568.98,2,0,13,193,0,0
Fashion,489.05,3,0,19,135,1,0
Electronics,732.89,3,10,15,181,1,0
Beauty,923.44,2,0,15,990,1,0
Books,1202.69,3,20,20,384,1,1
Home & Kitchen,1067.98,3,0,13,737,0,0
Groceries,571.07,1,15,5,1187,1,0
Home & Kitchen,1132.31,4,10,18,1627,1,0
Fashion,390.17,4,20,1,288,1,0
Electronics,836.97,2,30,6,1249,0,0
Electronics,622.84,3,25,1,469,1,0
Home & Kitchen,605.51,2,25,3,218,1,0
Toys,1698.02,2,0,20,1421,0,0
Beauty,1195.45,2,15,2,1563,1,1
Home & Kitchen,775.22,4,15,4,284,1,0
Books,889.55,4,20,4,680,1,0
Electronics,435.08,1,15,2,14,1,1
Home & Kitchen,1332.83,3,0,19,89,1,0
Fashion,654.83,1,0,8,1402,0,0
Home & Kitchen,953.11,4,15,5,974,0,0
Fashion,543.48,3,10,13,308,1,0
Groceries,1130,4,0,2,669,1,1
Electronics,647,2,5,7,105,1,0
Toys,1304.52,3,10,20,589,1,1
Home & Kitchen,737.71,1,5,1,1507,1,0
Beauty,219.44,1,20,9,1296,1,0
Books,914.84,1,5,7,14,1,0
Groceries,1068.77,2,25,10,569,1,1
Fashion,537.07,1,0,6,927,0,0
Sports,408.74,4,0,14,884,1,0
Home & Kitchen,1279.44,4,10,19,374,1,0
Sports,195.02,4,5,18,1467,1,0
Books,1146.05,3,30,19,796,0,0
Fashion,399.09,4,10,13,1007,1,0
Toys,1107.64,2,0,1,1578,0,0
Toys,1237.76,4,0,1,1436,1,1
Electronics,192.16,2,5,20,1251,0,0
Groceries,961.34,3,20,5,1389,0,0
Home & Kitchen,1231.47,2,0,3,1478,1,0
Beauty,726.41,2,0,17,1133,0,0
Fashion,704.94,3,0,7,841,1,0
Electronics,606.11,3,20,9,1196,1,0
Sports,89.62,3,15,18,953,0,0
Groceries,656.25,3,30,6,1744,0,0
Sports,298.08,2,0,21,52,1,1
Beauty,1648.25,4,10,24,1774,1,0
Fashion,785.5,4,10,7,157,1,1
Groceries,450.9,1,25,4,1593,0,0
Sports,421.66,1,0,16,1780,1,0
Fashion,295.03,1,0,24,1780,1,1
Groceries,389.19,4,10,13,1225,1,0
Home & Kitchen,1156.5,1,10,10,698,1,1
Books,1196.14,4,15,6,92,1,0
Toys,1502.28,4,0,1,355,0,0
Beauty,778.88,2,10,7,526,1,0
Electronics,452.74,3,15,10,533,1,0
Beauty,1183.32,4,0,15,1573,1,0
Beauty,1588.06,4,20,23,158,1,0
Books,760.99,2,15,1,591,0,0
Toys,623.92,2,5,21,773,1,1
Electronics,480.55,3,0,20,301,1,0
Fashion,354.65,4,10,3,170,0,0
Electronics,944.98,1,0,10,217,1,0
Fashion,610.33,1,20,20,1151,1,1
Books,987.29,4,0,2,1547,0,0
Electronics,298.4,2,15,6,363,1,1
Electronics,868.19,1,15,5,35,0,0
Toys,488.89,4,15,8,1781,0,0
Home & Kitchen,567.86,2,0,17,1441,1,1
Beauty,470.22,3,10,16,1334,1,1
Beauty,1776.76,3,5,20,603,0,0
Electronics,265.2,2,25,22,669,1,0
Books,1848.07,4,10,11,648,0,0
Books,990.83,3,20,21,1376,1,1
Books,1359.41,3,0,2,1027,0,0
Groceries,215.62,4,0,12,760,0,0
Toys,1754.73,2,15,11,477,1,0
Fashion,224.95,2,10,24,311,0,0
Home & Kitchen,477.12,3,10,24,1016,1,0
Groceries,333.07,1,10,13,315,0,0
Sports,320.26,1,0,2,1726,1,1
Groceries,1057.31,4,10,11,702,1,0
Sports,482.5,2,25,16,1754,0,0
Home & Kitchen,425.49,2,0,19,924,1,1
Books,689.88,3,5,18,1651,1,0
Beauty,1780.48,4,20,19,1624,1,0
Groceries,466.83,3,0,23,1379,0,0
Sports,129.1,4,0,23,642,1,1
Toys,769.12,1,0,24,1177,1,0
Electronics,819.56,1,15,23,1461,0,0
Fashion,151.53,3,0,8,1356,1,0
Toys,819.36,3,20,20,224,0,0
Home & Kitchen,436.06,1,0,12,1307,0,0
Home & Kitchen,1265.4,3,10,8,1393,0,0
Electronics,763.46,3,0,13,109,0,0
Fashion,550.43,1,20,8,711,0,0
Sports,450.83,2,0,9,1363,1,0
Home & Kitchen,1012.83,2,0,16,563,1,0
Books,1257.7,4,10,17,1159,0,0
Toys,1990.82,3,0,22,953,1,1
Sports,300.74,2,15,20,1019,0,0
Electronics,763.03,2,0,17,1411,0,0
Toys,1741.3,2,10,19,211,1,0
Books,1710.43,4,0,3,875,1,0
Books,1746.8,4,15,23,326,0,0
Books,979.65,2,5,15,771,1,0
Fashion,620.81,2,0,23,1170,1,0
Fashion,257.16,2,10,10,1431,1,0
Books,1860.47,1,0,7,271,1,0
Sports,298.09,4,15,21,1406,0,0
Toys,421.36,3,15,6,309,1,0
Electronics,921.87,4,15,23,1075,1,1
Books,1553.71,3,15,7,1458,1,1
Books,1637.84,4,15,14,960,0,0
Fashion,241.82,1,15,20,1005,0,0
Beauty,537.05,1,20,4,306,1,0
Books,1141.7,2,15,14,1385,1,1
Beauty,1266.12,2,0,24,960,1,1
Sports,397.93,2,0,3,580,0,0
Toys,1419.25,1,15,21,176,1,1
Beauty,965.98,3,15,17,607,1,0
Toys,714.95,1,15,8,1620,1,1
Fashion,635.68,3,25,7,1540,0,0
Toys,1454.18,4,5,21,685,1,0
Home & Kitchen,1271.11,4,30,11,1025,1,0
Books,625.01,2,5,24,873,1,0
Electronics,855.56,4,0,11,1786,0,0
Sports,187.45,3,15,19,707,1,0
Books,1696.71,2,15,7,407,1,0
Fashion,549.18,3,15,10,1311,1,0
Toys,1887.88,3,10,13,1589,0,0
Sports,261.34,1,5,18,805,1,0
Home & Kitchen,1411.7,2,15,6,642,1,1
Groceries,1079.7,2,0,1,1487,1,0
Sports,396.94,2,15,4,659,1,0
Home & Kitchen,780.07,3,25,10,1047,1,0
Electronics,492.3,3,0,12,703,1,0
Fashion,577.57,2,0,24,141,0,0
Sports,342.22,4,20,15,1259,1,1
Toys,1814.4,3,0,23,513,1,0
Books,1132.38,4,0,4,201,0,0
Sports,386.83,1,20,14,1630,1,1
Beauty,683.55,4,15,23,1167,1,1
Toys,1827.05,2,30,15,129,1,1
Electronics,787.68,2,15,14,1331,1,1
Beauty,1740.84,4,25,18,1726,0,0
Electronics,202.21,2,0,2,1057,1,1
Sports,497.96,3,0,17,1521,0,0
Groceries,1035.08,2,15,13,1204,1,0
Sports,445.81,4,0,19,1432,1,0
Books,1597.69,2,10,14,102,1,0
Electronics,808.92,1,10,23,1503,1,0
Toys,1477.22,3,20,12,1376,1,1
Beauty,1671.07,3,0,19,1187,0,0
Electronics,848.75,1,5,22,1330,0,0
Groceries,683.22,2,25,12,188,0,0
